DISTCODE地区代码,County Name,County Name,City Name,City Name,Province Name,Province Name,C1997,C1998,C1999,C2000,C2001,C2002,C2003,C2004,C2005,C2006,C2007,C2008,C2009,C2010,C2011,C2012,C2013,C2014,C2015,C2016,C2017
340102,瑶海区,Yaohai District,合肥市,Hefei City,安徽省,Anhui Province,1.630068188,1.538688575,1.624000323,1.708942539,1.626726488,1.769345073,2.032668301,2.224801548,2.633548728,2.982779004,3.184708922,3.371323029,3.671850909,3.990197686,4.329686196,4.348722578,4.260310664,4.180912621,3.761643463,3.755698638,3.530520614
340103,庐阳区,Luyang District,合肥市,Hefei City,安徽省,Anhui Province,1.19205285,1.107413085,1.170042657,1.264973241,1.220263019,1.315476847,1.533914649,1.678670453,1.925549953,2.290900173,2.431524558,2.550245568,2.77758062,2.990013517,3.171642057,3.184189894,3.119548498,3.144284567,2.883247086,2.958616405,2.908487468
340104,蜀山区,Shushan District,合肥市,Hefei City,安徽省,Anhui Province,1.818296907,1.692764942,1.734691849,1.845929349,1.770184183,2.177641224,2.63681022,2.892219257,3.305630776,3.795216737,3.997844059,4.180136885,4.552764387,4.888731594,5.195695542,5.218322341,5.111805606,4.963425252,4.45893504,4.437808137,4.16305611
340111,包河区,Baohe District,合肥市,Hefei City,安徽省,Anhui Province,1.55784524,1.4593159,1.477285962,1.549583052,1.474717179,1.602988474,1.877636061,2.075298161,2.443112561,2.695011367,2.893398826,3.123715032,3.42347783,3.684566969,4.145091364,4.160544518,4.091216956,4.140433517,3.792264044,3.827953764,3.682674075
340121,长丰县,Changfeng County,合肥市,Hefei City,安徽省,Anhui Province,1.488241778,1.47124774,1.520303522,1.620001974,1.558837141,1.683573241,2.063169895,2.279414658,2.753701804,3.347827989,3.841071379,4.413437344,4.808133889,5.275954493,5.982386797,6.481648505,6.583310812,6.956167497,6.673773202,7.097349951,7.081446056
340122,肥东县,Feidong County,合肥市,Hefei City,安徽省,Anhui Province,1.955258559,1.965295083,2.041760285,2.175467898,2.089037234,2.301389785,2.722004327,3.009182333,3.562474128,4.032681242,4.455496441,4.836239678,5.271488018,5.773326838,6.614047237,6.691539418,6.669807384,6.954752072,6.472045098,6.805431269,6.788802595
340123,肥西县,Feixi County,合肥市,Hefei City,安徽省,Anhui Province,1.884158248,1.834217769,1.898018682,2.041781976,1.967045837,2.288236869,2.706858708,2.984606434,3.521647921,4.019192134,4.681789501,5.312476285,5.81625509,7.025426871,8.018337996,8.184659943,8.27885632,8.800378284,9.001265317,10.24973323,11.31313609
340202,镜湖区,Jinghu District,芜湖市,Wuhu City,安徽省,Anhui Province,0.707822309,0.661784803,0.669220333,0.701805247,0.667898538,0.708960694,0.805242084,0.871534206,0.989647923,1.076318408,1.077988084,1.118323852,1.218013942,1.302075244,1.380855869,1.386003784,1.357712585,1.381652409,1.296138028,1.331241864,1.257803699
340203,弋江区,Yijiang District,芜湖市,Wuhu City,安徽省,Anhui Province,0.77031574,0.712106041,0.720106959,0.755903117,0.722175111,0.790471723,0.970161048,1.136407787,1.29636126,1.425068054,1.506087268,1.817641248,1.9799882,2.270302475,2.521594242,2.5309949,2.479332067,2.499949618,2.352093202,2.430828741,2.317354584
340207,鸠江区,Jiujiang District,芜湖市,Wuhu City,安徽省,Anhui Province,1.272882677,1.254226594,1.339839612,1.48484899,1.454472541,1.737852175,2.081891563,2.289427061,2.6552538,2.963950457,3.126165444,3.466511952,3.786337859,4.35566267,5.02804594,5.060904156,4.963627053,4.877728086,4.617744278,4.733626187,4.511511684
