数据库：年度数据
时间：最近20年
指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
能源消费总量(万吨标准煤),541000,524000,498314,487488,471925,455827,441492,434113,428334,416913,402138,387043,360648,336126,320611,311442,286467,261369,230281,197083
煤炭占能源消费总量的比重(%),56.2,56.0,56.9,57.7,59.0,60.6,62.2,63.8,65.8,67.4,68.5,70.2,69.2,71.6,71.5,72.5,72.4,72.4,70.2,70.2
石油占能源消费总量的比重(%),,18.5,18.8,19.0,18.9,18.9,18.7,18.4,17.3,17.1,17.0,16.8,17.4,16.4,16.7,17.0,17.5,17.8,19.9,20.1
天然气占能源消费总量的比重(%),,8.9,8.4,8.0,7.6,6.9,6.1,5.8,5.6,5.3,4.8,4.6,4.0,3.5,3.4,3.0,2.7,2.4,2.3,2.3
一次电力及其他能源占能源总量的比重(%),,16.6,15.9,15.3,14.5,13.6,13.0,12.0,11.3,10.2,9.7,8.4,9.4,8.5,8.4,7.5,7.4,7.4,7.6,7.4
煤炭消费量(万吨),,,404860.00,401915.00,397452.00,391403.00,388820.00,399834.00,413633.00,424425.94,411726.90,388961.10,349008.26,325002.93,300604.94,290410.12,270639.45,243375.44,212161.83,183760.24
焦炭消费量(万吨),,,48310.00,46426.00,43717.00,43743.00,45462.00,44059.00,46885.00,45851.87,44805.23,42063.28,38702.79,36349.97,32120.24,31168.12,28297.76,25105.84,18067.01,15926.47
原油消费量(万吨),,,69477.14,67268.27,63004.33,59402.17,57125.93,54788.28,51596.95,48652.15,46678.92,43965.84,42874.55,38128.59,35510.34,34031.60,32245.20,30088.94,29009.31,25180.72
汽油消费量(万吨),,,12767.16,13627.97,13055.30,12296.27,11866.04,11368.46,9776.37,9366.35,8165.90,7595.95,6956.20,6172.69,6145.52,5519.09,5242.55,4854.91,4695.72,4118.52
煤油消费量(万吨),,,3352.10,3950.23,3653.51,3326.36,2970.71,2663.71,2335.42,2164.07,1956.60,1816.72,1765.17,1450.49,1294.01,1243.72,1124.74,1076.84,1060.86,921.61
柴油消费量(万吨),,,14282.70,14917.95,16409.56,16916.54,16839.04,17360.31,17165.29,17150.65,16966.04,15635.10,14699.00,13551.43,13544.94,12492.38,11729.09,10974.94,10206.92,8575.12
燃料油消费量(万吨),,,5364.60,4690.34,4536.07,4887.30,4631.04,4662.01,4355.47,3953.97,3683.28,3662.80,3758.02,2828.80,3236.75,4157.49,4471.15,4244.16,4844.76,4330.34
天然气消费量(亿立方米),,,3339.89,3059.68,2817.09,2393.69,2078.06,1931.75,1870.63,1705.37,1497.00,1341.07,1080.24,895.20,812.94,705.23,573.32,466.08,396.72,339.08
电力消费量(亿千瓦小时),,,77620.17,74866.12,71508.20,65913.97,61205.09,58019.98,57829.69,54203.41,49762.64,47000.88,41934.49,37032.14,34541.35,32711.81,28587.97,24940.32,21971.37,19031.60
二氧化硫排放量(万吨),,274.78,318.22,457.29,516.12,610.84,854.89,1859.10,1974.40,2043.90,2118.00,2217.91,2185.00,2214.00,2321.00,2468.00,2588.80,2549.40,2254.90,
氮氧化物排放量(万吨),,972.65,1019.66,1233.85,1288.44,1348.40,1503.30,1851.02,2078.00,2227.36,2337.76,2404.27,,,,,,,,
烟(粉)尘排放量(万吨),,,,,,,,1538.01,1740.75,1278.14,1235.77,1278.83,,,,,,,,
颗粒物排放量(万吨),,537.60,611.40,1088.48,1132.26,1284.92,1608.01,,,,,,,,,,,,,
林业用地面积(万公顷),,32368.55,32368.55,32368.55,32368.55,32368.55,32368.55,32368.55,32368.55,31259.00,31259.00,31259.00,31259.00,31259.00,30590.41,30590.41,30590.41,30590.41,30590.41,
森林面积(万公顷),,22044.62,22044.62,22044.62,22044.62,22044.62,22044.62,22044.62,22044.62,20768.73,20768.73,20768.73,20768.73,20768.73,19545.22,19545.22,19545.22,19545.22,19545.22,
人工林面积(万公顷),,8003.10,8003.10,8003.10,8003.10,8003.10,8003.10,8003.10,8003.10,6933.38,6933.38,6933.38,6933.38,6933.38,6168.84,6168.84,6168.84,6168.84,6168.84,
森林覆盖率(%),,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,21.6,21.6,21.6,21.6,21.6,20.4,20.4,20.4,20.4,20.4,
活立木总蓄积量(亿立方米),,190.07,190.07,190.07,190.07,190.07,190.07,190.07,190.07,164.33,164.33,164.33,164.33,164.33,149.13,149.13,149.13,149.13,149.13,
森林蓄积量(亿立方米),,175.60,175.60,175.60,175.60,175.60,175.60,175.60,175.60,151.37,151.37,151.37,151.37,151.37,137.21,137.21,137.21,137.21,137.21,
环境污染治理投资总额(亿元),,,,,,9538.95,9219.80,8806.30,9575.50,9037.20,8253.46,7114.03,7612.19,5258.39,4937.03,3387.30,2566.00,2388.00,1909.80,1627.70
城镇环境基础设施建设投资额(亿元),,6578.28,6842.16,6017.84,5893.22,6085.75,5412.02,4946.80,5463.90,5222.99,5062.65,4557.23,5182.21,3245.06,2247.73,1467.50,1314.90,1289.70,1141.20,1072.40
城镇燃气建设投资额(亿元),,305.15,318.30,376.47,398.59,566.67,532.02,463.10,574.00,607.90,551.81,444.09,357.93,219.20,199.24,160.10,155.05,142.40,148.32,133.50
城镇集中供热建设投资额(亿元),,558.29,523.61,699.60,578.59,778.33,662.52,687.80,763.00,819.48,798.07,593.34,557.47,441.52,328.18,230.00,223.59,220.20,173.35,145.80
城镇排水建设投资额(亿元),,2714.74,2675.69,1930.02,1897.52,1727.52,1485.48,1248.50,1196.10,1055.00,934.08,971.63,1172.69,1035.54,637.16,410.00,331.52,368.00,352.28,375.20
城镇园林绿化建设投资额(亿元),,2003.11,2194.53,2327.35,2413.45,2390.23,2170.89,2075.40,2338.50,2234.86,2380.04,1991.94,2670.60,1137.64,823.92,525.60,429.01,411.30,359.46,321.90
城镇市容环境卫生建设投资额(亿元),,996.99,1130.03,684.41,605.07,623.00,561.11,472.00,592.20,505.75,398.64,556.23,423.52,411.15,259.23,141.80,175.75,147.80,107.80,96.00
工业污染源治理投资(万元),,3352364.34,4542585.90,6151513.43,6212735.62,6815345.49,8190040.51,7736822.20,9976510.87,8496646.57,5004572.67,4443610.10,3969768.20,4426206.90,5426403.80,5523909.40,4839485.10,4581908.70,3081059.50,2218281.00
建设项目“三同时”环保投资额(亿元),,,,,,,,,,3425.84,2690.35,2112.40,2033.00,1570.70,2146.70,1367.40,767.20,640.10,460.50,333.50
当年完成环保验收项目环保投资(亿元),,,,,,2771.67,2988.81,3085.83,3113.92,2964.53,,,,,,,,,,
工业污染治理完成投资(万元),,3352364,4542586,6151513,6212736,6815345,8190041,7736822,9976511,8496647,5004573,4443610,3969768,4426207,5426404,5523909,4839485,4581909,3081060,
治理废水项目完成投资(万元),,361241,573852,699004,640082,763760,1082395,1184138,1152473,1248822,1403448,1577471,1295519,1494606,1945977,1960722,1511165,1337147,1055868,
治理废气项目完成投资(万元),,2220982,2423725,3676995,3931104,4462628,5614702,5218073,7893935,6409109,2577139,2116811,1881883,2324616,2656987,2752642,2332697,2129571,1427975,
治理固体废物项目完成投资(万元),,36611,173064,170729,184249,127419,466733,161468,150504,140480,247499,313875,142692,218536,196851,182532,182631,274181,226465,
治理噪声项目完成投资(万元),,5437,7405,14168,15181,12862,6236,27892,10950,17628,11627,21623,14193,14100,28383,18279,30145,30613,13416,
治理其他项目完成投资(万元),,728094,1364540,1590616,1442119,1448676,1019974,1145251,768649,680608,764860,413831,620021,374349,598206,606838,782848,810396,357336,
工业污染治理本年竣工项目数(个),,,,,,,,,,,,7005,5866,8236,11184,12547,11972,11158,11290,
注：1.数据分别为第七次全国森林资源清查(2004-2008)、第八次全国森林资源清查(2009-2013)、第九次全国森林资源清查(2014-2018)资料。
　　　2.除第九次清查林业用地面积数据，全国总计数包括台湾省和香港、澳门特别行政区数据。
　　　3.自2013年，建设项目“三同时”环保投资额指标名称改为当年完成环保验收项目环保投资。
数据来源：国家统计局
