Data Source,世界发展指标,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023/3/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
阿鲁巴,ABW,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189480,189120,191600,191220,194000,196150,195960,196340,207440,205100,203230,202400,216190,220890,223010,231240,224390,239430,246590,244840,255340,259730,261270,259480,259870,262460,266510,268100,268290,267460,,
阿富汗,AFG,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840,2930,2890,2930,2760,2880,3120,3430,3720,4000,3480,3070,3560,3690,3670,3820,3660,3600,3880,4160,4580,4680,4720,4770,5090,4620,5050,5270,4690,5010,,
,AFW,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75050,78450,79640,81410,141120,142200,145410,147450,152980,153230,159600,154350,156270,163820,163230,171590,171770,172020,174180,171830,178570,182810,184650,189490,190400,194090,204420,205020,207550,209390,,
安哥拉,AGO,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15370,15410,15460,15410,15370,15350,13810,13580,14990,13880,14290,14630,15840,18150,18270,17960,16610,17780,16870,16970,17850,18440,17520,18100,17560,18270,18350,18740,16840,18910,,
阿尔巴尼亚,ALB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560,1190,1100,1150,1360,1340,1190,1120,1160,1120,1180,1140,1290,1300,1260,1270,1210,1200,1130,1120,1110,1150,1150,1120,1140,1190,1220,1190,1080,1100,,
安道尔共和国,AND,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
阿拉伯联盟国家,ARB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70460,69510,70870,74330,75680,77500,80910,82300,86120,87450,93260,93020,96310,95450,99350,101510,101830,103880,103820,106440,105790,108280,109860,111490,111260,111780,113230,114110,114150,116040,,
阿拉伯联合酋长国,ARE,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,570,620,660,700,750,780,800,820,860,900,960,1090,1160,1180,1250,1300,1350,1460,1560,1600,1600,1620,1770,1810,1770,1870,2030,1960,1940,,
阿根廷,ARG,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35570,35450,36180,35700,36660,36710,37060,37380,37040,37210,39280,39080,39620,43550,43770,43390,44750,47170,45840,40250,41470,42600,42070,43510,43850,43500,46450,49040,48210,48530,,
