"Data Source","世界发展指标",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"阿鲁巴","ABW","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304354.882668939","298735.435601561","295090","303600","312160","327430","340070","356590","365690","351070","355920","393150","404210.007127375","426379.996828735","457599.99126941","458459.994629025","465440.008163452","486179.996997118","519309.990122914","501940.011456609","529639.997445047","521760.009862482","543439.999304712","565430.012963712","587699.99242574","574029.994986952","578510.015696288","587509.992346167","590040.005281568","603030.016154051","","",
"阿富汗","AFG","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2230","1390","1340","1290","1240","1180","1100","1040","810","760","730","1029.99997138977","1220.00002861023","1029.99997138977","1549.99995231628","1759.99999046326","1769.99998092651","3559.99994277954","4880.00011444092","7110.0001335144","8930.00030517578","8079.99992370605","5989.99977111816","4880.00011444092","5949.99980926514","5300.00019073486","4780.00020980835","6070.00017166138","6079.99992370605","","",
"","AFW","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97925.7968877046","111479.470508094","122740.53316587","116094.991256618","107217.43603134","117296.844580631","135518.105893252","135548.40732559","130417.364783011","133013.187486639","141740","149460","141659.99802947","150990.000024438","150990.002661943","155280.000969768","148879.997208714","142610.002428293","151339.999720454","146719.997555017","165489.997714758","171780.000016093","177939.995750785","193299.99756068","201680.001884699","198410.002499818","206030.001297593","204740.000456572","211719.999298453","220740.000024438","","",
"安哥拉","AGO","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6560","6670","6880","9270","11300","12720","15440","16160","16770","17610","16200","15960","15689.9995803833","16760.0002288818","17450.0007629395","15810.0004196167","16559.9994659424","16969.9993133545","19280.0006866455","21149.9996185303","22799.9992370605","23870.0008392334","23870.0008392334","26959.9990844727","29629.9991607666","31649.9996185303","29760.0002288818","24250","23959.9990844727","25209.9990844727","","",
"阿尔巴尼亚","ALB","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5980","4060","2220","2060","2070","1930","1940","1470","1790","2970","3170","3230","3759.99999046326","4070.00017166138","4250","4030.00020980835","4010.00022888184","4139.9998664856","4079.99992370605","4219.99979019165","4449.99980926514","4849.99990463257","4360.0001335144","4440.00005722046","4820.00017166138","4619.99988555908","4480.00001907349","5139.9998664856","5110.0001335144","4829.99992370605","","",
"安道尔共和国","AND","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410","410","410","410","410","430","450","470","490","510","520","520","529.999971389771","529.999971389771","560.000002384186","579.999983310699","550.000011920929","540.000021457672","540.000021457672","519.999980926514","519.999980926514","490.000009536743","490.000009536743","479.999989271164","460.00000834465","469.999998807907","469.999998807907","469.999998807907","490.000009536743","500","","",
"阿拉伯联盟国家","ARB","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636128.993154742","638311.616152838","692897.307446233","746034.622187896","790632.55017664","814792.275713168","843629.05053133","884777.026039213","889715.587753798","901624.461623594","939191.72843414","991061.713693038","1024786.76941455","1055755.85910393","1112584.54413579","1188503.62074033","1251799.6594702","1303116.4412858","1408053.35044281","1455346.86825575","1541776.72627432","1574878.16518525","1683788.02430924","1713791.5569902","1771947.90817064","1818104.84341464","1838603.3674573","1858498.45151531","1836883.43594103","1886218.79695823","","",
"阿拉伯联合酋长国","ARE","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55210","61560","59700","63620","70780","75170","78530","81440","83450","85680","84730","97200","99150.0015258789","103819.999694824","110010.00213623","116459.999084473","121559.997558594","131830.001831055","156050.003051758","157020.004272461","162789.993286133","165600.006103516","175589.996337891","184470.001220703","184759.994506836","195240.005493164","201080.001831055","197039.993286133","177119.995117188","188860.000610352","","",
"阿根廷","ARG","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100320","105920","107930","110260","111910","112890","122550","126120","132670","134510","132270","125260","117470.001220703","127660.003662109","141380.004882813","145990.005493164","154899.993896484","162809.997558594","167229.995727539","156570.007324219","167220.001220703","176639.999389648","177960.006713867","183250","179600.006103516","185550.003051758","183160.003662109","179320.007324219","176899.993896484","168100.006103516","","",
"亚美尼亚","ARM","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19850","20690","10900","5040","2740","3510","2580","3340","3470","3110","3560","3600","3119.99988555908","3500","3759.99999046326","4460.00003814697","4489.99977111816","5199.99980926514","5690.00005722046","4510.00022888184","4340.00015258789","4940.00005722046","5719.99979019165","5500","5480.00001907349","5340.00015258789","5070.00017166138","5369.99988555908","5710.00003814697","6170.00007629395","","",
"美属萨摩亚","ASM","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
